Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P25386,Intracellular protein transport protein USO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=USO1 PE=1 SV=2,USO1,8,8,1.002,0.961,1.076,1.305,1.034,1.12,0.906,0.961,0.76,"Peripheral membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305};Peripheral membrane protein {ECO:0000305}. Golgi apparatus membrane {ECO:0000305};Peripheral membrane protein {ECO:0000305}. Note=Probably present on vesicles operational between the ER and the Golgi complex.;Cytoplasm, cytoskeleton. Cytoplasmic vesicle membrane {ECO:0000305}",endoplasmic reticulum [GO:0005783];endoplasmic reticulum membrane [GO:0005789];ER to Golgi transport vesicle membrane [GO:0012507];Golgi membrane [GO:0000139];Golgi stack [GO:0005795];cytoskeleton [GO:0005856],5,8
P38795,Glutamine-dependent NAD(+) synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QNS1 PE=1 SV=1,QNS1,8,8,1.406,1.22,1.488,0.733,0.926,0.883,0.886,0.864,0.751,,nucleus [GO:0005634];cytoplasm [GO:0005737],14,8
P40154,Ino eighty subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IES2 PE=1 SV=1,IES2,8,8,1.172,1.832,1.445,1.764,1.587,1.19,1.579,0.964,0.587,Nucleus {ECO:0000269|PubMed:14562095}.,Ino80 complex [GO:0031011],28,8
P42934,Dolichyl-phosphate-mannose--protein mannosyltransferase 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT6 PE=1 SV=1,PMT6,7,7,1.379,1.187,1.266,1.313,1.47,0.955,1.064,0.822,0.659,Multi-pass membrane protein {ECO:0000255}.;Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P33775},integral component of membrane [GO:0016021];dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582],13,8
P39705,Nucleoporin NUP60 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NUP60 PE=1 SV=1,NUP60,6,6,0.816,1.03,1.224,1.032,1.265,0.762,1.376,0.724,0.595,"Nucleoplasmic side. Note=Nuclear basket.;Peripheral membrane protein;Nucleus, nuclear pore complex. Nucleus membrane",nuclear membrane [GO:0031965];nuclear pore [GO:0005643];nuclear pore central transport channel [GO:0044613];nuclear pore nuclear basket [GO:0044615];nucleus [GO:0005634];cytosol [GO:0005829],18,8
P38915,Transcription factor SPT8 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT8 PE=1 SV=1,SPT8,8,8,0.663,1.089,0.883,1.034,1.184,0.741,1.108,0.608,0.342,Nucleus {ECO:0000305}.,SAGA complex [GO:0000124],16,8
Q06644,Probable dolichyl-phosphate-mannose--protein mannosyltransferase 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PMT7 PE=1 SV=1,PMT7,4,4,1.15,0.939,1.084,1.158,1.088,0.725,1.206,0.822,0.464,Multi-pass membrane protein {ECO:0000255}.;Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P33775},integral component of membrane [GO:0016021];dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex [GO:0097582],7,8
Q08227,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase INP54 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=INP54 PE=1 SV=1",INP54,7,7,1.173,1.049,1.153,0.781,0.863,0.717,0.874,0.737,0.54,Cytoplasmic side {ECO:0000269|PubMed:11116155}.;Peripheral membrane protein {ECO:0000269|PubMed:11116155};Endoplasmic reticulum membrane {ECO:0000269|PubMed:11116155},endoplasmic reticulum membrane [GO:0005789];endoplasmic reticulum [GO:0005783],26,8
Q07896,Nucleolar complex-associated protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOC3 PE=1 SV=1,NOC3,7,7,1.122,1.383,0.966,1.322,1.268,0.965,1.622,1.133,0.664,"Nucleus, nucleolus {ECO:0000269|PubMed:11371346}.",nuclear pre-replicative complex [GO:0005656];nucleolus [GO:0005730];nucleoplasm [GO:0005654];nucleus [GO:0005634];Noc2p-Noc3p complex [GO:0030691],16,8
P32477,Glutamate--cysteine ligase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSH1 PE=1 SV=1,GSH1,6,6,1.4,1.174,1.315,0.659,0.7,0.725,0.88,0.844,0.883,,intracellular [GO:0005622];cytoplasm [GO:0005737],10,8
P02400,60S acidic ribosomal protein P2-beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPP2B PE=1 SV=2,RPP2B,3,3,1.945,2.228,2.036,0.811,0.989,0.747,1.402,1.098,0.645,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.",cytosolic large ribosomal subunit [GO:0022625],25,8
P40851,Putative protease AXL1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AXL1 PE=1 SV=2,AXL1,7,7,1.777,1.326,1.773,0.549,0.64,0.632,0.764,0.706,0.586,Bud neck {ECO:0000269|PubMed:12176366}. Note=Mother-bud neck and division site remnants of haploid cells.,mating projection tip [GO:0043332];cellular bud neck [GO:0005935],8,8
Q12235,High affinity cysteine transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YCT1 PE=1 SV=1,YCT1,7,7,1.974,0.58,0.509,1.411,1.565,1.446,0.64,0.83,0.74,Multi-pass membrane protein.;Multi-pass membrane protein. Endoplasmic reticulum membrane;Cell membrane,integral component of membrane [GO:0016021];plasma membrane [GO:0005886];endoplasmic reticulum membrane [GO:0005789],16,8
P43545,Probable pyridoxal 5'-phosphate synthase subunit SNZ3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNZ3 PE=2 SV=1,SNZ3,8,3,0.505,0.457,0.498,1.855,2.264,2.06,0.887,0.989,0.941,,,23,8
P32485,Mitogen-activated protein kinase HOG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HOG1 PE=1 SV=2,HOG1,7,6,1.388,1.286,1.475,0.693,0.792,0.801,0.958,0.964,0.877,Cytoplasm. Nucleus. Note=Predominantly cytoplasmic in unstressed cells but rapidly concentrates within the nucleus in response to hyperosmotic conditions and phosphorylation.,nucleus [GO:0005634];cytoplasm [GO:0005737],22,8
P46151,Methylenetetrahydrofolate reductase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MET12 PE=1 SV=2,MET12,5,5,1.58,1.268,1.519,0.825,1.001,0.983,1.003,1.017,0.76,,cytosol [GO:0005829],9,8
P25367,[PIN+] prion protein RNQ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RNQ1 PE=1 SV=2,RNQ1,4,4,1.056,0.9,0.815,1.124,1.509,1.046,1.043,0.644,0.664,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytosol [GO:0005829],15,8
P34251,Uncharacterized oxidoreductase YKL107W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YKL107W PE=3 SV=1,,7,7,0.605,0.519,0.59,1.121,1.038,1.079,1.576,1.777,1.528,Single-pass membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021],25,8
P34909,General negative regulator of transcription subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MOT2 PE=1 SV=1,MOT2,7,7,0.953,1.145,0.915,1.129,1.041,0.922,1.276,1.031,0.95,Cytoplasm {ECO:0000305}. Nucleus.,cytoplasm [GO:0005737];nucleus [GO:0005634];CCR4-NOT core complex [GO:0030015],9,8
P54070,Mannosyltransferase KTR6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KTR6 PE=1 SV=1,KTR6,8,8,1.553,1.002,1.079,1.141,1.155,1.036,0.994,0.853,0.686,Single-pass type II membrane protein {ECO:0000305}.;Membrane {ECO:0000305},integral component of membrane [GO:0016021];membrane [GO:0016020];Golgi apparatus [GO:0005794],21,8
P32909,Protein SMY2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SMY2 PE=1 SV=2,SMY2,8,8,0.943,0.912,0.923,1.169,1.216,1.047,1.113,1,0.967,Cytoplasm {ECO:0000269|PubMed:14562095}.,extrinsic component of membrane [GO:0019898];endoplasmic reticulum membrane [GO:0005789],13,8
P43564,Uncharacterized membrane protein YFL034W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YFL034W PE=1 SV=2,,4,4,1.322,1.326,1.614,0.728,0.705,0.624,0.91,0.877,0.753,Multi-pass membrane protein.;Membrane,integral component of membrane [GO:0016021],5,8
Q08886,Guanine nucleotide-binding protein subunit beta 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPB1 PE=1 SV=1,GPB1,8,8,1.022,0.986,0.97,0.946,0.907,0.683,0.886,0.834,0.634,Cytoplasm {ECO:0000269|PubMed:14562095}.,plasma membrane [GO:0005886];cytoplasm [GO:0005737],11,8
P25358,Elongation of fatty acids protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ELO2 PE=1 SV=1,ELO2,3,3,1.435,1.299,1.534,0.853,0.705,0.54,1.042,0.697,0.387,"Multi-pass membrane protein {ECO:0000255}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:9832547}",integral component of endoplasmic reticulum membrane [GO:0030176];endoplasmic reticulum [GO:0005783],9,8
P38789,Ribosome biogenesis protein SSF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSF1 PE=1 SV=1,SSF1,8,3,1.075,2.051,1.017,0.999,1.031,0.649,1.295,0.812,0.377,"Nucleus, nucleolus {ECO:0000269|PubMed:12702244}.","preribosome, large subunit precursor [GO:0030687];nucleolus [GO:0005730]",17,8
P53217,Uncharacterized membrane protein YGR026W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR026W PE=1 SV=1,,5,5,1.672,1.321,1.527,0.669,0.601,0.479,0.785,0.707,0.339,Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.;Cell membrane {ECO:0000269|PubMed:14562095},nuclear pore [GO:0005643];plasma membrane [GO:0005886];integral component of membrane [GO:0016021],13,8
P38145,Riboflavin synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIB5 PE=1 SV=1,RIB5,7,7,1.048,0.92,0.997,1.008,1.18,1.12,0.984,0.94,0.848,,,26,8
Q12450,Protein ERP4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP4 PE=1 SV=1,ERP4,4,3,0.997,0.944,0.959,1.237,1.29,0.883,1.1,0.855,0.582,Single-pass type I membrane protein {ECO:0000250}.;Endoplasmic reticulum membrane {ECO:0000250},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],19,8
P23337,Glycogen [starch] synthase isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GSY1 PE=1 SV=3,GSY1,8,6,1.111,1.272,1.46,0.732,0.832,0.775,1.131,1.128,1.032,,,14,8
Q06107,Uncharacterized TLC domain-containing protein YPR114W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YPR114W PE=1 SV=1,,4,4,1.536,1.253,1.458,1.022,0.885,0.698,1.086,0.793,0.409,Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],12,8
P53104,Serine/threonine-protein kinase ATG1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG1 PE=1 SV=1,ATG1,7,7,1.095,1.074,1.194,1.072,1.152,1.041,1.112,1.1,0.977,Peripheral membrane protein. Note=Formes punctate structures in starvation conditions only when ATG13 and ATG17 were both present. Localizes to both the isolation membrane (IM) and the vacuole-isolation membrane contact site (VICS) during IM expansion. The IM is a membrane sac generated from the pre-autophagosomal structure that ultimately expands to become a mature autophagosome.;Cytoplasm. Preautophagosomal structure membrane,autophagosome membrane [GO:0000421];cytosol [GO:0005829];extrinsic component of autophagosome membrane [GO:0097635];phagophore [GO:0061908];phagophore assembly site [GO:0000407];phagophore assembly site membrane [GO:0034045];vacuole-isolation membrane contact site [GO:0120095];Atg1/ULK1 kinase complex [GO:1990316],10,8
P15801,DNA polymerase gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIP1 PE=1 SV=3,MIP1,8,8,1.242,1.07,0.956,1.071,1.097,1.088,0.948,1.071,1.044,Mitochondrion.,mitochondrion [GO:0005739];gamma DNA polymerase complex [GO:0005760],7,8
Q12361,G protein-coupled receptor GPR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GPR1 PE=1 SV=1,GPR1,8,8,1.341,1.051,1.451,0.875,0.783,0.673,1.053,0.972,0.803,Multi-pass membrane protein {ECO:0000269|PubMed:9524122}.;Cell membrane {ECO:0000269|PubMed:9524122},plasma membrane [GO:0005886];integral component of membrane [GO:0016021],9,8
Q12040,Broad-specificity phosphatase YOR283W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOR283W PE=1 SV=1,,6,6,1.472,1.361,1.662,0.634,0.677,0.609,0.606,0.535,0.394,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytosol [GO:0005829],33,8
P40070,U6 snRNA-associated Sm-like protein LSm4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LSM4 PE=1 SV=1,LSM4,5,5,1.055,1.702,1.166,0.775,0.864,0.71,1.089,0.813,0.61,Nucleus {ECO:0000269|PubMed:14562095}. Cytoplasm {ECO:0000269|PubMed:14562095}.,nucleolus [GO:0005730];P-body [GO:0000932];small nucleolar ribonucleoprotein complex [GO:0005732];spliceosomal complex [GO:0005681];U4/U6 x U5 tri-snRNP complex [GO:0046540];U6 snRNP [GO:0005688];Lsm1-7-Pat1 complex [GO:1990726],29,8
P38986,L-asparaginase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ASP1 PE=1 SV=1,ASP1,6,6,1.484,1.496,1.667,0.564,0.707,0.667,0.894,0.805,0.637,Cytoplasm.,intracellular [GO:0005622];cytoplasm [GO:0005737],19,8
Q3E785,"Succinate dehydrogenase assembly factor 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH6 PE=1 SV=1",SDH6,6,6,0.443,0.398,0.354,0.883,0.707,0.849,1.038,1.392,1.471,Mitochondrion matrix {ECO:0000269|PubMed:14562095}.,mitochondrial matrix [GO:0005759],68,8
P38074,Protein arginine N-methyltransferase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMT1 PE=1 SV=1,HMT1,6,6,1.948,1.551,1.803,0.801,1.057,1.119,0.947,0.82,0.639,Nucleus {ECO:0000269|PubMed:8668183}.,nucleus [GO:0005634];cytosol [GO:0005829],17,8
Q12102,Cleavage factor two protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CFT2 PE=1 SV=1,CFT2,7,7,0.837,1.292,0.834,1.315,1.182,1.004,1.232,0.933,0.728,"Nucleus {ECO:0000269|PubMed:12819204, ECO:0000269|PubMed:14562095}.",mRNA cleavage factor complex [GO:0005849];mRNA cleavage and polyadenylation specificity factor complex [GO:0005847],10,8
Q12320,"Hydroxyacylglutathione hydrolase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLO4 PE=3 SV=1",GLO4,8,8,0.815,0.797,0.806,1.003,0.979,1.112,0.822,1.03,1.028,Mitochondrion matrix.,mitochondrial matrix [GO:0005759],33,8
P50088,Stationary phase gene 1 protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPG1 PE=1 SV=2,SPG1,3,3,0.303,0.573,0.576,1.107,0.501,0.413,1.281,2.172,2.074,Single-pass membrane protein {ECO:0000305}.;Mitochondrion membrane {ECO:0000305},mitochondrial membrane [GO:0031966];integral component of membrane [GO:0016021],23,8
P38889,Transcription factor SKN7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SKN7 PE=1 SV=1,SKN7,7,7,0.937,1.554,1.313,1.112,1.133,0.787,1.251,0.628,0.331,"Nucleus {ECO:0000269|PubMed:10888672, ECO:0000269|PubMed:14665464}.",nucleus [GO:0005634];cytosol [GO:0005829],15,8
P80667,Peroxisomal membrane protein PAS20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX13 PE=1 SV=1,PEX13,5,5,1.101,0.943,1.042,1.265,1.193,1.102,1.14,1.053,0.828,Single-pass membrane protein.;Peroxisome membrane,peroxisomal importomer complex [GO:1990429];peroxisomal membrane [GO:0005778];Pex17p-Pex14p docking complex [GO:1990415];integral component of membrane [GO:0016021],17,8
P40994,ADP-ribosylation factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARF3 PE=1 SV=2,ARF3,5,5,1.138,1.031,1.312,0.91,0.776,0.706,0.813,0.857,0.591,Golgi apparatus.,cellular bud tip [GO:0005934];Golgi apparatus [GO:0005794];cellular bud neck [GO:0005935],36,8
P43610,Uncharacterized ATP-dependent helicase IRC5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRC5 PE=1 SV=2,IRC5,6,6,0.816,1.229,0.845,1.179,1.197,0.96,0.985,0.818,0.681,Nucleus {ECO:0000305}.,nucleus [GO:0005634],7,8
Q06053,tRNA-dihydrouridine(47) synthase [NAD(P)(+)] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUS3 PE=1 SV=2,DUS3,7,7,1.191,1.283,1.079,0.862,0.871,0.911,1.243,0.914,0.647,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nuclear periphery [GO:0034399];cytoplasm [GO:0005737],12,8
P07269,Regulatory protein PHO2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PHO2 PE=1 SV=1,PHO2,7,7,0.774,1.156,1.085,1.652,1.523,1.096,1.487,0.871,0.501,Nucleus.,nucleus [GO:0005634];cytosol [GO:0005829],12,8
Q06144,Protein ORM2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ORM2 PE=1 SV=1,ORM2,4,3,1.106,1.023,1.024,0.954,0.967,0.725,1.355,1.05,0.569,"Multi-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:20182505}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:20182505}",integral component of membrane [GO:0016021];SPOTS complex [GO:0035339];endoplasmic reticulum [GO:0005783],33,8
P40464,Mitochondrial FAD carrier protein FLX1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FLX1 PE=3 SV=1,FLX1,6,6,0.839,0.749,0.652,1.07,1.072,1.3,0.941,1.187,1.343,Multi-pass membrane protein.;Mitochondrion inner membrane,mitochondrial inner membrane [GO:0005743];mitochondrion [GO:0005739];integral component of membrane [GO:0016021],19,8
Q06683,Putative ATP-dependent helicase IRC3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IRC3 PE=1 SV=1,IRC3,7,7,0.727,0.704,0.546,1.177,1.156,1.406,1.03,1.312,1.568,Mitochondrion {ECO:0000269|PubMed:14562095}.,nucleolus [GO:0005730];mitochondrial matrix [GO:0005759],13,8
P25576,Nicotinamide mononucleotide adenylyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POF1 PE=1 SV=1,POF1,7,7,1.211,0.982,1.213,1.012,0.932,1.064,0.952,1.036,0.962,Cytoplasm {ECO:0000269|PubMed:24759102}. Nucleus {ECO:0000269|PubMed:24759102}.,nucleus [GO:0005634];cytoplasm [GO:0005737],25,8
Q06109,"Required for respiratory growth protein 8, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRG8 PE=1 SV=1",RRG8,7,7,0.842,0.748,0.686,0.655,0.596,0.752,0.833,1.061,1.221,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739],23,8
P48836,V-type proton ATPase subunit G OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VMA10 PE=1 SV=1,VMA10,6,6,1.533,1.651,1.507,0.648,0.786,0.707,0.978,0.969,0.803,,"vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]",54,8
P52489,Pyruvate kinase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PYK2 PE=1 SV=1,PYK2,5,4,1.092,0.969,1.145,0.886,0.989,0.874,0.87,0.752,0.713,,mitochondrion [GO:0005739],10,8
P40529,ADP-ribosylation factor GTPase-activating protein effector protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AGE2 PE=1 SV=1,AGE2,6,6,1.019,0.89,1.106,1.02,1.019,0.983,0.856,0.884,0.59,Cytoplasm {ECO:0000269|PubMed:14562095}. Golgi apparatus {ECO:0000269|PubMed:14562095}. Note=Associates with the Golgi complex.,Golgi apparatus [GO:0005794],22,8
Q03497,Serine/threonine-protein kinase STE20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE20 PE=1 SV=1,STE20,8,8,1.428,1.469,1.79,0.754,0.825,0.827,1.046,0.943,0.939,"Cytoplasm. Nucleus. Note=The translocation from the cytoplasm to the nucleus is stimulated by H(2)O(2). Localizes at bud emergence during cell cycle and the shmoo top during mating, both localizations requiring an interaction with CDC42.",incipient cellular bud site [GO:0000131];mating projection tip [GO:0043332];nucleus [GO:0005634];cytoplasm [GO:0005737],11,8
P40348,Replication factor C subunit 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RFC2 PE=1 SV=1,RFC2,7,7,1.12,1.366,1.135,1.191,1.129,0.988,1.173,0.892,0.604,Nucleus {ECO:0000305}.,DNA replication factor C complex [GO:0005663];Elg1 RFC-like complex [GO:0031391];nucleus [GO:0005634];Rad17 RFC-like complex [GO:0031389];Ctf18 RFC-like complex [GO:0031390],18,8
Q05584,"Hydroxyacylglutathione hydrolase, cytoplasmic isozyme OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLO2 PE=1 SV=1",GLO2,8,8,1.08,1.208,1.015,0.872,1.036,0.936,1.209,1.066,0.847,Cytoplasm.,cytoplasm [GO:0005737],30,8
Q12241,Syntaxin VAM3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VAM3 PE=1 SV=1,VAM3,6,6,1.341,1.154,1.579,0.806,0.907,0.854,0.735,0.734,0.642,Single-pass type IV membrane protein.;Vacuole membrane,fungal-type vacuole membrane [GO:0000329];integral component of membrane [GO:0016021];SNARE complex [GO:0031201];endomembrane system [GO:0012505],32,8
Q12403,Protein ERP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ERP3 PE=1 SV=1,ERP3,5,5,1.521,1.255,1.421,0.932,0.787,0.624,1.171,0.856,0.454,Single-pass type I membrane protein {ECO:0000250}.;Endoplasmic reticulum membrane {ECO:0000250},integral component of membrane [GO:0016021];endoplasmic reticulum membrane [GO:0005789],17,8
Q06205,FK506-binding protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FPR4 PE=1 SV=1,FPR4,6,5,1.108,1.795,1.184,1.111,1.18,0.839,1.656,1.084,0.484,"Nucleus {ECO:0000269|PubMed:14981505, ECO:0000269|PubMed:9371805}.",nucleus [GO:0005634];nucleolus [GO:0005730],19,8
Q12389,ATP-dependent RNA helicase DBP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DBP10 PE=1 SV=2,DBP10,8,8,0.869,1.048,0.879,1.192,1.153,1.097,1.221,1.017,0.685,"Nucleus, nucleolus {ECO:0000269|PubMed:10871363}.","nucleolus [GO:0005730];preribosome, large subunit precursor [GO:0030687];cytoplasm [GO:0005737]",9,8
P53224,Protein ORM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ORM1 PE=1 SV=1,ORM1,4,3,1.161,1.155,1.158,0.929,0.861,0.61,1.093,0.775,0.508,Multi-pass membrane protein {ECO:0000269|PubMed:14562095}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:14562095},integral component of membrane [GO:0016021];SPOTS complex [GO:0035339];endoplasmic reticulum [GO:0005783],32,8
